n02085620_3208,100,21,451,374,Chihuahua
n02085620_326,0,66,264,470,Chihuahua
n02085620_3402,155,117,466,297,Chihuahua
n02085620_3407,0,14,478,304,Chihuahua
n02085620_3409,2,1,389,331,Chihuahua
n02085620_3423,27,27,174,196,Chihuahua
n02085620_3485,25,9,282,315,Chihuahua
n02085620_3488,78,67,424,326,Chihuahua
n02085620_3593,2,7,199,227,Chihuahua
n02085620_3651,152,216,275,370,Chihuahua
n02085620_3677,67,24,499,308,Chihuahua
n02085620_368,155,24,418,316,Chihuahua
n02085620_3681,128,26,406,442,Chihuahua
n02085620_3742,72,24,538,408,Chihuahua
n02085620_3763,6,0,131,131,Chihuahua
n02085620_382,134,24,361,373,Chihuahua
n02085620_3826,2,0,454,332,Chihuahua
n02085620_3838,75,2,349,324,Chihuahua
n02085620_3875,125,14,340,332,Chihuahua
n02085620_3877,0,17,331,498,Chihuahua
n02085620_3880,1,63,281,498,Chihuahua
n02085620_3928,75,21,399,374,Chihuahua
n02085620_3942,10,11,440,498,Chihuahua
n02085620_3975,45,63,274,463,Chihuahua
n02085620_4016,2,8,629,478,Chihuahua
n02085620_4159,167,78,287,319,Chihuahua
n02085620_4207,19,16,464,317,Chihuahua
n02085620_4266,0,0,285,374,Chihuahua
n02085620_4290,36,155,290,458,Chihuahua
n02085620_431,180,113,387,360,Chihuahua
n02085620_4441,107,110,296,401,Chihuahua
n02085620_4515,94,127,222,327,Chihuahua
n02085620_4572,67,137,222,380,Chihuahua
n02085620_4602,1230,416,2541,2441,Chihuahua
n02085620_4673,85,78,300,373,Chihuahua
n02085620_4700,30,32,372,498,Chihuahua
n02085620_473,173,4,383,242,Chihuahua
n02085620_473,43,146,251,319,Chihuahua
n02085620_477,209,6,452,284,Chihuahua
n02085620_4814,25,19,221,238,Chihuahua
n02085620_4875,17,3,494,457,Chihuahua
n02085620_4919,10,22,180,205,Chihuahua
n02085620_4951,65,27,441,349,Chihuahua
n02085620_4980,153,93,323,205,Chihuahua
n02085620_4998,129,124,323,374,Chihuahua
n02085620_500,8,87,432,340,Chihuahua
n02085620_5093,70,91,230,360,Chihuahua
n02085620_5312,42,11,499,373,Chihuahua
n02085620_5496,0,9,284,332,Chihuahua
n02085620_5661,114,180,253,311,Chihuahua
n02085620_5661,176,42,422,286,Chihuahua
n02085620_5713,158,14,482,403,Chihuahua
n02085620_574,61,65,433,374,Chihuahua
n02085620_575,112,49,286,327,Chihuahua
n02085620_575,249,51,384,339,Chihuahua
n02085620_5771,124,234,252,371,Chihuahua
n02085620_588,78,117,321,473,Chihuahua
n02085620_5927,30,14,236,298,Chihuahua
n02085620_6295,70,148,179,430,Chihuahua
n02085620_6399,107,70,235,147,Chihuahua
n02085620_6931,96,87,380,332,Chihuahua
n02085620_7,71,1,192,180,Chihuahua
n02085620_712,98,61,349,325,Chihuahua
n02085620_7292,69,6,174,139,Chihuahua
n02085620_730,177,134,347,367,Chihuahua
n02085620_735,92,71,185,286,Chihuahua
n02085620_7436,0,25,373,498,Chihuahua
n02085620_7440,21,0,473,374,Chihuahua
n02085620_7613,159,119,367,342,Chihuahua
n02085620_7700,0,0,379,374,Chihuahua
n02085620_7738,119,103,332,355,Chihuahua
n02085620_806,189,288,464,483,Chihuahua
n02085620_8420,53,68,312,249,Chihuahua
n02085620_8491,17,17,386,342,Chihuahua
n02085620_8558,49,35,171,154,Chihuahua
n02085620_8578,62,35,336,323,Chihuahua
n02085620_8585,125,9,321,267,Chihuahua
n02085620_8611,105,12,254,266,Chihuahua
n02085620_8636,45,130,204,262,Chihuahua
n02085620_8637,143,46,457,301,Chihuahua
n02085620_9351,139,12,359,327,Chihuahua
n02085620_9357,63,90,418,248,Chihuahua
n02085620_9399,149,74,286,249,Chihuahua
n02085620_9414,42,0,343,281,Chihuahua
n02085620_949,8,16,374,357,Chihuahua
n02085620_952,107,29,370,498,Chihuahua
n02085620_9654,0,36,420,498,Chihuahua
